Rank,Target,Score,Precision
0,surprise,0.91379,0.05361
1,curious,0.77778,0.10541
2,simple,0.76744,0.10783
3,wonder,0.73134,0.12217
4,eager,0.71429,0.13363
5,shocked,0.68085,0.14586
6,startled,0.65,0.15811
7,excited,0.65,0.15811
8,happiness,0.64865,0.1644
9,amazed,0.64865,0.1644
10,concerned,0.62857,0.16903
11,cute,0.62857,0.16903
12,awe,0.62857,0.16903
13,skeptical,0.61765,0.1715
14,funny,0.6129,0.17961
15,neutral,0.60606,0.17408
16,good,0.6,0.18257
17,silly,0.6,0.18257
18,amused,0.57692,0.19612
19,wow,0.57692,0.19612
20,uncertain,0.54167,0.20412
21,confused,0.51515,0.17408
22,nice,0.38462,0.27735
23,worried,0.38462,0.27735
24,smile,0.37931,0.1857
25,thrilled,0.36364,0.30151
26,calm,0.36,0.2
27,normal,0.3,0.22361
28,sadness,0.3,0.31623
29,stunned,0.28571,0.26726
30,joy,0.27273,0.30151
31,naughty,0.25,0.35355
32,playful,0.25,0.35355
33,scared,0.25,0.35355
34,goofy,0.16667,0.40825
35,unsure,0,0.5
36,active,0,0.5
37,other,0,0.5
38,anger,0,0.5
39,screaming,0,0.5
40,fear,0,0.5
