Rank,Target,Score,Precision
0,disbelief,0.85606,0.08704
1,shocked,0.81928,0.10976
2,uncomfortable,0.80899,0.106
3,concerned,0.80769,0.11323
4,confused,0.78378,0.11625
5,intrigued,0.76923,0.12403
6,unpleasant,0.76786,0.13363
7,startled,0.76364,0.13484
8,upset,0.75472,0.13736
9,bewildered,0.7377,0.12804
10,afraid,0.73333,0.14907
11,worried,0.72917,0.14434
12,scared,0.72131,0.12804
13,unhappy,0.69767,0.1525
14,angry,0.69444,0.16667
15,curious,0.59091,0.2132
16,boring,0.52941,0.24254
17,calm,0.52632,0.22942
18,amazing,0.5,0.22361
19,wow,0.5,0.25
20,interested,0.5,0.2357
21,mad,0.36364,0.30151
22,focused,0.36364,0.30151
23,screaming,0.33333,0.33333
24,silly,0.33333,0.33333
25,young,0.33333,0.33333
26,surprised,0.25,0.35355
27,sad,0.25,0.35355
28,happy,0.16667,0.40825
29,amazed,0.16667,0.40825
30,funny,0.16667,0.40825
31,goofy,0,0.5
32,thrilled,0,0.5
33,cute,0,0.5
34,crazy,0,0.5
35,content,0,0.5
36,excited,0,0.5
37,playful,0,0.5
