Rank,Target,Score,Precision
0,confused,0.88991,0.09578
1,startled,0.88889,0.08085
2,scared,0.88,0.08944
3,stunned,0.8427,0.106
4,fear,0.84211,0.1026
5,worried,0.82716,0.11111
6,shocked,0.82051,0.11323
7,unsure,0.81081,0.11625
8,uncertain,0.80556,0.11785
9,awe,0.75,0.14434
10,neutral,0.69444,0.16667
11,other,0.68571,0.16903
12,skeptical,0.67742,0.17961
13,silly,0.6087,0.20851
14,simple,0.59091,0.2132
15,concerned,0.59091,0.2132
16,curious,0.59091,0.2132
17,nice,0.52941,0.24254
18,good,0.52941,0.24254
19,excited,0.5,0.2357
20,normal,0.5,0.25
21,amused,0.41667,0.28868
22,anger,0.41667,0.28868
23,sadness,0.4,0.31623
24,wonder,0.4,0.31623
25,playful,0.36364,0.30151
26,thrilled,0.35294,0.24254
27,calm,0.33333,0.33333
28,surprise,0.3,0.31623
29,amazed,0.28571,0.37796
30,smile,0.28571,0.37796
31,screaming,0.28571,0.37796
32,naughty,0.28571,0.37796
33,active,0.28571,0.37796
34,happiness,0.28571,0.37796
35,eager,0.28571,0.37796
36,funny,0,0.5
37,wow,0,0.5
38,joy,0,0.5
39,cute,0,0.40825
40,goofy,0,0.5
