Rank,Target,Score,Precision
0,shocked,0.84024,0.07692
1,intrigued,0.81884,0.08513
2,startled,0.80508,0.09206
3,goofy,0.79245,0.09713
4,confused,0.75,0.11471
5,concerned,0.73529,0.12127
6,bewildered,0.72581,0.127
7,worried,0.71186,0.13019
8,silly,0.69091,0.13484
9,funny,0.68627,0.14003
10,amazed,0.68085,0.14586
11,thrilled,0.67797,0.13019
12,scared,0.66038,0.13736
13,unhappy,0.64286,0.1543
14,crazy,0.64103,0.16013
15,excited,0.62162,0.1644
16,curious,0.62162,0.1644
17,wow,0.6,0.18257
18,playful,0.58621,0.1857
19,unpleasant,0.58621,0.1857
20,surprised,0.54167,0.20412
21,upset,0.52174,0.20851
22,angry,0.47619,0.21822
23,uncomfortable,0.42105,0.22942
24,boring,0.41176,0.24254
25,screaming,0.3,0.31623
26,sad,0.3,0.31623
27,mad,0.25,0.35355
28,content,0.25,0.35355
29,cute,0.25,0.35355
30,happy,0.16667,0.40825
31,interested,0.16667,0.40825
32,afraid,0.16667,0.40825
33,young,0,0.5
34,amazing,0,0.5
35,calm,0,0.5
36,disbelief,0,0.5
37,focused,0,0.5
