Rank,Target,Score,Precision
0,scared,0.89286,0.06299
1,unsure,0.83117,0.08058
2,shocked,0.7037,0.13608
3,fear,0.70175,0.13245
4,confused,0.69643,0.13363
5,excited,0.68627,0.14003
6,funny,0.65,0.15811
7,surprise,0.62857,0.16903
8,neutral,0.62857,0.16903
9,simple,0.62857,0.16903
10,goofy,0.61765,0.1715
11,skeptical,0.61765,0.1715
12,playful,0.6,0.18257
13,wow,0.58824,0.1715
14,screaming,0.54167,0.20412
15,normal,0.54167,0.20412
16,silly,0.52381,0.21822
17,happiness,0.52381,0.21822
18,nice,0.52381,0.21822
19,startled,0.52174,0.20851
20,amazed,0.5,0.22361
21,concerned,0.47368,0.22942
22,smile,0.47368,0.22942
23,eager,0.47059,0.24254
24,calm,0.47059,0.24254
25,thrilled,0.45833,0.20412
26,other,0.42857,0.26726
27,worried,0.42857,0.26726
28,sadness,0.42857,0.26726
29,awe,0.4,0.2582
30,uncertain,0.4,0.22361
31,joy,0.36364,0.30151
32,naughty,0.36364,0.30151
33,active,0.36364,0.30151
34,amused,0.36364,0.30151
35,wonder,0.3,0.31623
36,cute,0.27273,0.30151
37,good,0.26667,0.2582
38,curious,0.25,0.35355
39,stunned,0,0.5
40,anger,0,0.5
