Rank,Target,Score,Precision
0,disbelief,0.93735,0.04909
1,shocked,0.9185,0.05599
2,surprised,0.86782,0.07581
3,concerned,0.79121,0.10483
4,curious,0.76712,0.11704
5,interested,0.76389,0.11785
6,startled,0.75,0.12127
7,bewildered,0.72222,0.13608
8,silly,0.69091,0.13484
9,worried,0.68889,0.14907
10,excited,0.66667,0.14907
11,funny,0.61765,0.1715
12,playful,0.60714,0.18898
13,happy,0.59259,0.19245
14,goofy,0.58065,0.17961
15,amazed,0.57692,0.19612
16,wow,0.57692,0.19612
17,upset,0.56522,0.20851
18,thrilled,0.54545,0.2132
19,scared,0.51852,0.19245
20,crazy,0.5,0.22361
21,intrigued,0.5,0.22361
22,confused,0.46667,0.2582
23,young,0.38462,0.27735
24,amazing,0.36364,0.30151
25,screaming,0.25,0.35355
26,afraid,0.25,0.35355
27,calm,0.25,0.35355
28,focused,0.25,0.35355
29,sad,0.16667,0.40825
30,content,0.16667,0.40825
31,angry,0,0.5
32,cute,0,0.5
33,boring,0,0.5
34,mad,0,0.5
35,unpleasant,0,0.5
36,unhappy,0,0.5
37,uncomfortable,0,0.5
