Rank,Target,Score,Precision
0,shocked,0.87903,0.0898
1,surprise,0.87413,0.08362
2,funny,0.8626,0.08737
3,wow,0.83158,0.1026
4,startled,0.76667,0.1291
5,awe,0.7451,0.14003
6,thrilled,0.70455,0.15076
7,amazed,0.67647,0.1715
8,stunned,0.64516,0.17961
9,scared,0.62963,0.19245
10,other,0.62963,0.19245
11,fear,0.61538,0.19612
12,curious,0.61538,0.19612
13,worried,0.57143,0.21822
14,good,0.57143,0.21822
15,screaming,0.57143,0.21822
16,amused,0.55,0.22361
17,goofy,0.55,0.22361
18,simple,0.54545,0.2132
19,smile,0.52632,0.22942
20,skeptical,0.52381,0.21822
21,silly,0.5,0.25
22,neutral,0.5,0.25
23,normal,0.5,0.2357
24,eager,0.46667,0.2582
25,calm,0.42857,0.26726
26,playful,0.41667,0.28868
27,concerned,0.41667,0.28868
28,joy,0.41667,0.28868
29,wonder,0.41667,0.28868
30,confused,0.36364,0.30151
31,excited,0.36364,0.30151
32,uncertain,0.33333,0.33333
33,happiness,0.33333,0.33333
34,unsure,0.33333,0.33333
35,nice,0.25,0.35355
36,sadness,0.25,0.35355
37,anger,0.16667,0.40825
38,naughty,0.16667,0.40825
39,active,0.125,0.35355
40,cute,0,0.5
