Rank,Target,Score,Precision
0,surprise,-1,1
1,playful,-1,1
2,startled,-1,1
3,funny,-1,1
4,unsure,-1,1
5,goofy,-1,1
6,concerned,-1,1
7,awe,-1,1
8,nice,-1,1
9,wow,-1,1
10,skeptical,-1,1
11,screaming,-1,1
12,simple,-1,1
13,naughty,-1,1
14,active,-1,1
15,amused,-1,1
16,normal,-1,1
17,eager,-1,1
18,uncertain,-1,1
19,thrilled,-1,1
20,calm,-1,1
21,amazed,-1,1
22,happiness,-1,1
23,shocked,-1,1
24,sadness,-1,1
25,fear,-1,1
26,scared,-1,1
27,excited,-1,1
28,anger,-1,1
29,confused,-1,1
30,neutral,-1,1
31,cute,-1,1
32,curious,-1,1
33,good,-1,1
34,worried,-1,1
35,other,-1,1
36,joy,-1,1
37,silly,-1,1
38,smile,-1,1
39,stunned,-1,1
40,wonder,-1,1
